id,vin,price,miles,stock_no,year,make,model,trim,body_type,vehicle_type,drivetrain,transmission,fuel_type,engine_size,engine_block,seller_name,street,city,state
6ce03735-df5d,3G5DA03E55S524516,,121727,L0572A,2005,Buick,Rendezvous,CX,SUV,Truck,FWD,Automatic,Unleaded,3.4,V,toth buick gmc,3300 South Arlington Road,Akron,OH
0482bddc-103c,1GBZG1FA8D1190756,17000,57868,S6B976,2013,Chevrolet,Express,LS,Passenger Van,Truck,RWD,Automatic,E85 / Unleaded,4.8,V,ferrario auto team,2472 Corning Road,Elmira,NY
e3080d5b-3672,1G1YY26E475134493,44999,25138,PN1763,2007,Chevrolet,Corvette,Z06,Coupe,Car,RWD,Manual,Premium Unleaded,7,V,steven nissan,2275 E Market St,Harrisonburg,VA
534b4547-f905,1D7HW28N85S295623,8999,146511,P4033A,2005,Dodge,Dakota,ST,Pickup,Truck,4WD,Manual,Unleaded,4.7,V,"harvard ford, llc",5250 South Route 14,Harvard,IL
83ea72aa-5bf1,3G5DA03E94S580201,5995,60541,20040201,2004,Buick,Rendezvous,CX,SUV,Truck,FWD,Automatic,Unleaded,3.4,V,faulkner buick gmc west chester,705 Autopark Boulevard,West Chester,PA
f2e67c2f-8819,WDDUG8CB1HA300036,50992,61894,300036,2017,Mercedes-Benz,S-Class,S550,Sedan,Car,RWD,Automatic,Premium Unleaded,4.7,V,gravity autos,1830 Cobb Parkway South,Marietta,GA
23614bfe-85d6,WDDUG7JB1FA098759,68000,29389,NP4645B,2015,Mercedes-Benz,S-Class,S63 AMG®,Sedan,Car,4WD,Automatic,Premium Unleaded,5.5,V,gold coast maserati,732 Northern Blvd,Great Neck,NY
954ce137-f48c,1GNDS13S242310070,,201650,6596,2004,Chevrolet,TrailBlazer,LS,SUV,Truck,RWD,Automatic,Unleaded,4.2,I,oasis motor co,1010 S. Staples,Corpus Christi,TX
27f7b39a-23c0,WDDLJ7DB0EA105174,30000,43213,P4638A,2014,Mercedes-Benz,CLS-Class,CLS550,Coupe,Car,RWD,Automatic,Premium Unleaded,4.7,V,central florida lincoln,2055 W. Colonial Drive,Orlando,FL
f370e369-f9c0,3C6UR5CJ5JG107882,33995,111782,101277,2018,RAM,Ram 2500 Pickup,Tradesman,Pickup,Truck,4WD,Automatic,Unleaded,6.4,V,cars 4 u,6145 Clinton Hwy,Knoxville,TN
05148e6b-8c59,5UXJU2C52KLN66950,74950,10809,LN66950M,2019,BMW,X5,50i,SUV,Truck,4WD,Automatic,Premium Unleaded,4.4,V,bmw of mamaroneck,236 West Boston Post Road,Mamaroneck,NY
e4450d81-932f,WBS6E9C58KG808400,,20664,P6200,2019,BMW,M6 Gran Coupe,Base,Coupe,Car,RWD,Automatic,Premium Unleaded,4.4,V,rick hendrick cadillac norfolk,6222 East Virginia Beach Blvd.,Norfolk,VA
41afc0a1-f64c,WDBTJ72H79F265609,11997,120019,265609,2009,Mercedes-Benz,CLK-Class,CLK550,Coupe,Car,RWD,Automatic,Premium Unleaded,5.5,V,prosperity motors,2334 Apollo Cir,Carrollton,TX
e6b7bf2c-dbd2,1FMJU1H57DEF08212,14577,124793,H4313A,2013,Ford,Expedition,XLT,SUV,Truck,RWD,Automatic,E85 / Unleaded,5.4,V,jeff sikes mazda,6555 University Dr,Huntsville,AL
16510b91-febf,WDDUG7JB4HA287103,84900,66451,HA287103C3,2017,Mercedes-Benz,S-Class,AMG® S63,Sedan,Car,4WD,Automatic,Premium Unleaded,5.5,V,swickard auto group,2025 Airport Way South,Seattle,WA
0d770a51-427d,1GCHG39VX71137627,14900,102815,71137627,2007,Chevrolet,Express Cargo,Base,Cargo Van,Truck,RWD,Automatic,Unleaded,4.8,V,mj traders,610 River Dr,Garfield,NJ
ef6ef831-b0e3,1G4HD57159U143207,8975,107192,86591,2009,Buick,Lucerne,CXL,Sedan,Car,FWD,Automatic,E85 / Unleaded,3.9,V,baum chevrolet buick,810 W. Van Buren,Clinton,IL
686481d1-5c56,3C6UR5FJXHG580294,50915,57095,C2137A,2017,RAM,Ram 2500 Pickup,Laramie,Pickup,Truck,4WD,Automatic,Unleaded,6.4,V,key auto center of somersworth,221 Route 108,Somersworth,NH
215d7a56-90fa,KL8CA6S95DC612992,7915,62925,5938,2013,Chevrolet,Spark,LS,Hatchback,Car,FWD,Manual,Unleaded,1.2,I,westgate imports,6312 Westgate Road,Raleigh,NC
e6b564be-10b2,1FMJK1K53AEA48492,13995,142651,VFA51869A,2010,Ford,Expedition,Limited,SUV,Truck,RWD,Automatic,E85 / Unleaded,5.4,V,waxahachie nissan,1900 W Hwy 287 Bypass,Waxahachie,TX
2cfbccfd-f829,ZACNJBC19KPK64105,27991,10941,6P21001B,2019,Jeep,Renegade,Trailhawk,SUV,Truck,4WD,Automatic,Unleaded,1.3,I,fremont toyota sheridan,1614 Coffeen Ave,Sheridan,WY
